x,float_direct,float_expanded,double_direct,double_expanded,quad_direct,quad_expanded
0.999901199999999999984,-9.20560629e-29,4.76837158e-07,-9.1896424055243039e-29,0,-9.18964240555395116255801406382118321e-29,-9.18930509945148165983717091613201881e-29
0.999901250000000000012,-9.16681084e-29,9.53674316e-07,-9.1571373873750813e-29,6.2172489379008766e-15,-9.15713738735150509427006609332174056e-29,-9.15725762517687805524231944316740562e-29
0.999901299999999999986,-9.12815622e-29,-4.76837158e-07,-9.1247309687203208e-29,-1.7763568394002505e-15,-9.12473096871572810824486389113185003e-29,-9.12459385332007053517449005726116525e-29
0.999901350000000000014,-9.08964063e-29,0,-9.0924229002658551e-29,-5.3290705182007514e-15,-9.09242290028008742171140327345216734e-29,-9.09254637904546693057963858429655206e-29
0.999901399999999999989,-9.05126467e-29,-1.43051147e-06,-9.0602129331499959e-29,5.3290705182007514e-15,-9.06021293318298073055254742872633438e-29,-9.06019075597976136824829815486112528e-29
0.999901450000000000017,-9.01302714e-29,9.53674316e-07,-9.0281008190862937e-29,3.5527136788005009e-15,-9.02810081906668921063448944943957001e-29,-9.02814328170515776365344668189651209e-29
0.999901499999999999991,-9.01302714e-29,9.53674316e-07,-8.9960863100777554e-29,3.5527136788005009e-15,-8.99608631007689090327501485664133269e-29,-8.99547950984835024358561729599027173e-29
0.999901550000000000019,-8.97492924e-29,9.53674316e-07,-8.9641691588438911e-29,-3.5527136788005009e-15,-8.9641691588616169695546005505747412e-29,-8.96374018436484859672725477949647212e-29
0.999901599999999999993,-8.93696855e-29,-4.76837158e-07,-8.9323491186050752e-29,-5.3290705182007514e-15,-8.93234911857076493300700204334341541e-29,-8.93200085888134694986889226300267252e-29
0.999901650000000000022,-8.8991463e-29,1.90734863e-06,-8.900625942870788e-29,5.3290705182007514e-15,-8.90062594285505817673779007005798921e-29,-8.9008778309800492184835076594505001e-29
0.999901699999999999996,-8.86146127e-29,2.38418579e-06,-8.8689993858627873e-29,-1.7763568394002505e-15,-8.86899938586555905034402756615720781e-29,-8.86913850549654757162514514295670049e-29
0.999901750000000000024,-8.82391225e-29,-9.53674316e-07,-8.837469202231502e-29,4.4408920985006262e-15,-8.83746920225263159970088610250674377e-29,-8.8370910312219439670302936699920873e-29
0.999901799999999999998,-8.82391225e-29,-9.53674316e-07,-8.8060351471957396e-29,0,-8.80603514716545454508238973893824372e-29,-8.80596800332064623564490906643991488e-29
