x,direct_f,expand_f,horner_f,direct_d,expand_d,horner_d,direct_q,expand_q,horner_q
0.70499999999999996,4.99137786e-06,9.05990601e-06,2.62260437e-06,4.9913745439515829e-06,4.9913745501228846e-06,4.9913745415741673e-06,4.9913745439515829441966235093427452e-06,4.99137454395158294419662351165614306e-06,4.99137454395158294419662350934502713e-06
0.70509999999999995,4.97448036e-06,4.76837158e-07,6.67572021e-06,4.9744804169638605e-06,4.9744804178075697e-06,4.9744804173634805e-06,4.97448041696386167717597080336458933e-06,4.97448041696386167717597080126332265e-06,4.97448041696386167717597080550036852e-06
0.70519999999999994,4.95763516e-06,5.7220459e-06,4.05311584e-06,4.957637770258812e-06,4.9576377669779959e-06,4.9576377733062671e-06,4.95763777025881267103377435392276828e-06,4.9576377702588126710337743517224493e-06,4.9576377702588126710337743519150423e-06
0.70529999999999993,4.94084998e-06,3.81469727e-06,4.88758087e-06,4.9408464643472032e-06,4.9408464679601138e-06,4.940846462520021e-06,4.94084646434720381231511952582129493e-06,4.9408464643472038123151195220145608e-06,4.9408464643472038123151195289479086e-06
0.70539999999999992,4.924108e-06,9.53674316e-07,5.66244125e-06,4.9241063600706258e-06,4.9241063626581649e-06,4.9241063603266966e-06,4.92410636007062596150619888048597821e-06,4.92410636007062596150619888456031436e-06,4.92410636007062596150619888003437899e-06
0.7054999999999999,4.9074165e-06,5.7220459e-06,4.529953e-06,4.9074173186008193e-06,4.9074173178453862e-06,4.9074173189556092e-06,4.90741731860082020712767485301188021e-06,4.90741731860082020712767485304257531e-06,4.90741731860082020712767484745737847e-06
0.7056,4.89077547e-06,1.43051147e-06,3.39746475e-06,4.8907792014389893e-06,4.8907792029595498e-06,4.8907792027375052e-06,4.89077920143898781646490237144930518e-06,4.89077920143898781646490237288543748e-06,4.89077920143898781646490237731507635e-06
0.70569999999999999,4.87419493e-06,5.24520874e-06,3.75509262e-06,4.8741918704151937e-06,4.8741918750039304e-06,4.8741918684536145e-06,4.87419187041519360051474755144366124e-06,4.87419187041519360051474755034243536e-06,4.87419187041519360051474754937947039e-06
0.70579999999999998,4.85765577e-06,4.29153442e-06,6.55651093e-07,4.857655187687586e-06,4.8576551847645533e-06,4.8576551906487353e-06,4.85765518768758575286496992697359204e-06,4.85765518768758575286496991984263262e-06,4.85765518768758575286496993024265432e-06
0.70589999999999997,4.84116617e-06,5.7220459e-06,4.35113907e-06,4.8411690157418029e-06,4.8411690176664024e-06,4.8411690151128894e-06,4.84116901574180160071262995116952475e-06,4.84116901574180160071262994752661927e-06,4.84116901574180160071262994964514221e-06
0.70599999999999996,4.82473797e-06,7.62939453e-06,6.19888306e-06,4.8247332173902826e-06,4.8247332200546111e-06,4.8247332169459867e-06,4.82473321739028204543847116467779589e-06,4.82473321739028204543847117034296235e-06,4.82473321739028204543847115907627217e-06
0.70609999999999995,4.80834979e-06,6.67572021e-06,5.96046448e-06,4.8083476557716055e-06,4.8083476542615244e-06,4.808347657037082e-06,4.80834765577160563616525577954951805e-06,4.80834765577160563616525578916686329e-06,4.80834765577160563616525578165573651e-06
0.70619999999999994,4.79201208e-06,0,3.69548798e-06,4.7920121943498229e-06,4.7920122003830556e-06,4.7920121971634089e-06,4.79201219434982377449693873158947399e-06,4.79201219434982377449693873065284523e-06,4.79201219434982377449693873854915801e-06
0.70629999999999993,4.77572348e-06,7.15255737e-06,3.51667404e-06,4.7757266969137971e-06,4.7757266941061971e-06,4.7757266962156208e-06,4.77572669691379704890096672086570326e-06,4.77572669691379704890096671776074954e-06,4.7757266969137970489009667296052187e-06
0.70639999999999992,4.75949537e-06,1.43051147e-06,2.8014183e-06,4.7594910275765318e-06,4.759491017303219e-06,4.7594910298487392e-06,4.75949102757653269719755705498546895e-06,4.75949102757653269719755705501075089e-06,4.75949102757653269719755705250704196e-06
0.70649999999999991,4.74330591e-06,8.10623169e-06,7.4505806e-06,4.7433050507745221e-06,4.743305057175462e-06,4.7433050496259455e-06,4.74330505077452319562137833796246713e-06,4.74330505077452319562137833195665343e-06,4.74330505077452319562137833465295535e-06
0.70660000000000001,4.72716738e-06,5.7220459e-06,6.67572021e-06,4.7271686312670683e-06,4.7271686289818149e-06,4.7271686328675955e-06,4.72716863126706808535801412522906252e-06,4.72716863126706808535801411971231839e-06,4.72716863126706808535801412211973082e-06
0.70669999999999999,4.71107705e-06,9.53674316e-07,3.33786011e-06,4.711081634135686e-06,4.7110816367990083e-06,4.7110816291384694e-06,4.71108163413568641520648939965612208e-06,4.71108163413568641520648940423854656e-06,4.71108163413568641520648939855705322e-06
0.70679999999999998,4.69504721e-06,4.76837158e-06,6.13927841e-06,4.6950439247833509e-06,4.6950439180903913e-06,4.6950439297477331e-06,4.69504392478335121124419622203058039e-06,4.6950439247833512112441962173678667e-06,4.69504392478335121124419622199009856e-06
0.70689999999999997,4.67905556e-06,7.62939453e-06,2.8014183e-06,4.6790553689339035e-06,4.6790553716036243e-06,4.679055365275353e-06,4.67905536893390427180625475530475106e-06,4.67905536893390427180625475711076442e-06,4.67905536893390427180625475942188035e-06
0.70699999999999996,4.66311303e-06,3.33786011e-06,2.92062759e-06,4.6631158326313819e-06,4.6631158392429484e-06,4.6631158238108483e-06,4.66311583263138242393601000759021625e-06,4.66311583263138242393601000613404324e-06,4.66311583263138242393601000709700821e-06
0.70709999999999995,4.64722962e-06,5.24520874e-06,6.49690628e-06,4.6472251822393624e-06,4.6472251877816007e-06,4.6472251826745747e-06,4.64722518223936283974261696444940384e-06,4.64722518223936283974261696728895665e-06,4.64722518223936283974261696777043913e-06
0.70719999999999994,4.63138531e-06,4.29153442e-06,4.70876694e-06,4.6313832844403091e-06,4.6313832804401045e-06,4.631383282105439e-06,4.63138328444030946863277473128925827e-06,4.63138328444030946863277473179063306e-06,4.63138328444030946863277473169433656e-06
0.70729999999999993,4.61558875e-06,3.81469727e-06,6.2584877e-06,4.6155900062349202e-06,4.6155900124134064e-06,4.6155900024213992e-06,4.61559000623492058389453119729370789e-06,4.61559000623492058389453119859633563e-06,4.61559000623492058389453119503336523e-06
0.70739999999999992,4.5998413e-06,9.53674316e-07,7.86781311e-06,4.5998452149414791e-06,4.5998452149476066e-06,4.5998452167239634e-06,4.59984521494147744211263737670857497e-06,4.59984521494147744211263737634939238e-06,4.59984521494147744211263737548272391e-06
0.70749999999999991,4.58415161e-06,4.76837158e-06,3.57627869e-06,4.5841487781951932e-06,4.5841487761322242e-06,4.5841487712472428e-06,4.58414877819519405389648716461259637e-06,4.58414877819519405389648716108201746e-06,4.58414877819519405389648715819312254e-06
