x,rel_direct_f,rel_expand_f,rel_horner_f,rel_direct_d,rel_expand_d,rel_horner_d,rel_direct_q,rel_expand_q,rel_horner_q
0.70379999999999998,9.08430986136070501155486265946148684e-07,0.100780671570996354491869587438701035,0.387442304792609988474127292500862766,1.22833805018201850462205603995881774e-16,8.03286955698964117545686716434337539e-10,3.33411923179005208122807086750279883e-10,0,1.00725001031435384571373973616847757e-27,6.89602206122036528089724657303714529e-30
0.70389999999999997,6.02383467035908269954326528762564763e-07,0.104503924181738093501037440450042426,0.323103659176040424506451100539113331,8.82560614657922362938075936197245252e-19,6.22206862934469087030402742978815287e-11,3.0209265645261986657696480088804141e-10,0,3.50827853308604041184241189033169354e-28,1.1176030217967418907435643617699396e-27
0.70399999999999996,1.45166741387451769960559346828082822e-08,0.662361551385605997592514185918420085,0.500743067223116525604353084509684825,2.48942055894402750293588465192004498e-16,7.54942227827633313330751961471433503e-10,4.75407048387120707275396687444278701e-10,0,3.32749840435088354628559591583239955e-28,1.08942345910389956087241903091045389e-28
0.70409999999999995,4.56169018266676708987706190391191215e-07,0.853320096800704408871829471671243304,0.0424925544503962299904040778150743522,1.57693142755583728670340634166678804e-16,3.22159529556272126479702981518202487e-10,3.43735015108010125195209725526611837e-10,0,7.66491365975269155131149415739514672e-28,1.86365095946195183139899183774467247e-28
0.70419999999999994,1.04656466660400146276353545671292457e-06,0.0227772978343773037308051971565119524,0.243604214412254221581774501088031577,7.29934518256172691049504652252369087e-18,8.53781159858495313424405465212147696e-10,1.20402962470637543797667185213222076e-10,0,1.75051384474152681602713638972808426e-28,3.62822503021731393355102948086366804e-28
0.70429999999999993,4.9439233401224887947176594793362785e-07,0.39942009168093258667614542682127624,0.72595144640648352356724602641290737,2.98033888852689462965594747385988978e-16,1.56680354194657387599690634756413954e-09,1.70945155057312956146143869594054221e-10,0,3.84564816019755395788241009339133037e-28,7.99060416775358508344547137364585582e-28
0.70439999999999992,1.58076466754195362945032185521597218e-07,0.906389235117004029680738234705439294,0.146731869816700636410956624858369172,2.59141593095435330314458915479602913e-16,1.03011518843835631793878885844820301e-10,9.3147572921915436889777951865137138e-11,0,2.02318941335224985959698481927276796e-29,9.65459065001125755046142702342505801e-28
0.7044999999999999,6.69322564060503719670970567414009402e-07,0.624287858260662595152030525523931171,0.412949778532285304925047696131142473,1.7895641380728273496065868336612215e-17,1.87076666475833446792405503087881623e-09,5.56728404407056677473656727788533135e-10,0,3.73929864480326819346187689860232006e-28,3.84814763321321303660887657274978848e-28
0.7046,8.77631675441381897699149129964404375e-07,0.623014043085053456759776531574482843,0.0339734854054494829469273621596123999,3.04805926165558359031770849458825754e-17,4.19488769594082264571873652597966611e-10,2.16871882134000751427794659215180923e-10,0,1.00101706641572073182099035177277387e-27,1.40958549178010154885229572234037816e-28
0.70469999999999999,2.93094850385801759635326119720686203e-07,1.0804548837673350452120598305435004,0.465775031745167872763042153337466278,9.61308381707688555798393278564687639e-17,5.35772893180798429556586242447162394e-10,1.06420232919576404095109621118705448e-09,0,7.10190671712798889719811083913952299e-28,1.75461285348931020070222654949414166e-28
0.70479999999999998,3.35288159175393559721692404707785381e-07,0.620452136694017103215355532138420527,0.750921714705448723985077067965838519,1.39203387732250000601956569450477993e-16,1.65777913097620303933196703675431173e-10,4.52981626358314807379793965157846239e-10,0,3.26105955401489185108261319524052452e-29,2.43395567139818915451384862517823815e-28
0.70489999999999997,7.98231759483074793738140215645593619e-07,0.0472989815797804430881692793249696149,0.0472989815797804430881692793249696149,5.05218232877797670405134311892956446e-17,9.08516775610140734448760491834515967e-10,2.43489604757606826805556987202265821e-10,0,2.04765390274715076432104180295313738e-28,3.52826428354777559356899182794889966e-28
0.70499999999999996,6.65140425003154764118451502368249595e-07,0.81511243567925232422463646335918045,0.474572715987584853513921023764447767,4.60006367385399937361291123511441487e-18,1.23639321360779230304671188590285308e-09,4.76304804611020241505223549206390453e-10,0,4.63479116083671136244657771505133473e-28,4.57174349157777942303693061715842941e-31
0.70509999999999995,1.10788520274173337241517096918197743e-08,0.904143323878203318393618695892997112,0.341993465705153542489338257498041055,2.41570814771985592128471300642159067e-16,1.6960725896171849241170538614441305e-10,8.033377256188474466120209187485601e-11,0,4.22409278080620378608626305453005298e-28,4.29347191439862593871861815493563571e-28
0.70519999999999994,5.27373215207805184010652840655526341e-07,0.15418797491910780067663611252736262,0.182450184432298641187382753626451488,1.44412365141058309190597709580916471e-16,6.61770175779662080763207206352182285e-10,6.14698887435705893301576344098622472e-10,0,4.43824071162240592125250077533248111e-28,4.04976336946138454544206464559115634e-28
